  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
        2.000000       3.000000       0.025211       0.016919
        2.000000       3.000000       0.022383       0.025199
        2.000000       3.000000       0.023187       0.021180
        2.000000       3.000000       0.021096       0.022776
        2.000000       3.000000       0.017966       0.019020
        2.000000       3.000000       0.011096       0.018051
        2.000000       3.000000       0.023718       0.017886
        2.000000       3.000000       0.031460       0.017519
        2.000000       3.000000       0.032214       0.021435
        2.000000       3.000000       0.022020       0.021055
        2.000000       3.000000       0.019711       0.021063
        2.000000       3.000000       0.015199       0.019700
        2.000000       3.000000       0.013423       0.021055
        2.000000       3.000000       0.032375       0.023889
        2.000000       3.000000       0.027246       0.024564
        2.000000       3.000000       0.021318       0.024757
        2.000000       3.000000       0.034433       0.025804
        2.000000       3.000000       0.022131       0.021187
        2.000000       3.000000       0.004072       0.020929
        2.000000       3.000000       0.019377       0.024656
        2.000000       3.000000       0.021150       0.018499
        2.000000       3.000000       0.007557       0.021439
        2.000000       3.000000       0.035157       0.021807
        2.000000       3.000000       0.012773       0.021435
        2.000000       3.000000       0.019176       0.018051
        2.000000       3.000000       0.024815       0.018051
        2.000000       3.000000       0.024182       0.022291
        2.000000       3.000000       0.013472       0.020072
        2.000000       3.000000       0.012137       0.021194
        2.000000       3.000000       0.024196       0.024656
        2.000000       3.000000       0.011985       0.024502
        2.000000       3.000000       0.014585       0.025441
        2.000000       3.000000       0.021336       0.020072
        2.000000       3.000000       0.027590       0.021562
        2.000000       3.000000       0.027461       0.016919
        2.000000       3.000000       0.016542       0.019836
        2.000000       3.000000       0.012318       0.018337
        2.000000       3.000000       0.027590       0.020539
        2.000000       3.000000       0.021125       0.018591
        2.000000       3.000000       0.022503       0.018009
        2.000000       3.000000       0.025394       0.018051
        2.000000       3.000000       0.015618       0.014295
        2.000000       3.000000       0.014566       0.021564
        2.000000       3.000000       0.023700       0.021194
        2.000000       3.000000       0.022248       0.021556
        2.000000       4.000000       0.023362       0.020961
        2.000000       4.000000       0.025419       0.020807
        2.000000       4.000000       0.020004       0.021202
        2.000000       4.000000       0.010007       0.018928
        2.000000       4.000000       0.013877       0.016758
        2.000000       4.000000       0.019652       0.020943
        2.000000       4.000000       0.020001       0.017585
        2.000000       4.000000       0.021404       0.021457
        2.000000       4.000000       0.031296       0.024818
        2.000000       4.000000       0.019982       0.016878
        2.000000       4.000000       0.008342       0.020827
        2.000000       4.000000       0.011774       0.021457
        2.000000       4.000000       0.021030       0.016946
        2.000000       4.000000       0.022164       0.020481
        2.000000       4.000000       0.027769       0.021331
        2.000000       4.000000       0.025121       0.020467
        2.000000       4.000000       0.010874       0.021700
        2.000000       4.000000       0.015445       0.017677
        2.000000       4.000000       0.035254       0.018084
        2.000000       4.000000       0.026022       0.021326
        2.000000       4.000000       0.013166       0.022746
        2.000000       4.000000       0.032017       0.027552
        2.000000       4.000000       0.016272       0.020961
        2.000000       4.000000       0.019509       0.021218
        2.000000       4.000000       0.022437       0.021700
        2.000000       4.000000       0.009093       0.023821
        2.000000       4.000000       0.023094       0.019763
        2.000000       4.000000       0.024101       0.017086
        2.000000       4.000000       0.018414       0.017921
        2.000000       4.000000       0.017648       0.017385
        2.000000       4.000000       0.026311       0.021326
        2.000000       4.000000       0.027893       0.023821
        2.000000       4.000000       0.018862       0.021459
        2.000000       4.000000       0.025877       0.020817
        2.000000       4.000000       0.028344       0.017548
        2.000000       4.000000       0.017192       0.027552
        2.000000       4.000000       0.016176       0.020736
        2.000000       4.000000       0.016952       0.024660
        2.000000       4.000000       0.023664       0.024112
        2.000000       4.000000       0.030958       0.020714
        2.000000       4.000000       0.016176       0.020952
        2.000000       4.000000       0.029402       0.021331
        2.000000       4.000000       0.021421       0.017799
        2.000000       4.000000       0.016856       0.021339
        2.000000       4.000000       0.015351       0.020817
        2.000000       4.000000       0.018237       0.021700
        2.000000       4.000000       0.022988       0.021202
        2.000000       4.000000       0.022791       0.021331
        3.000000       1.000000       0.018304       0.002307
        3.000000       1.000000       0.017218       0.019588
        3.000000       1.000000       0.019104       0.019803
        3.000000       1.000000       0.019104       0.002307
        3.000000       1.000000       0.018223       0.032574
        3.000000       1.000000       0.018547       0.020332
        3.000000       1.000000       0.022098       0.000591
        3.000000       1.000000       0.021478       0.019588
        3.000000       1.000000       0.019951       0.000591
        3.000000       1.000000       0.021962       0.032574
        3.000000       1.000000       0.021124       0.020437
        3.000000       1.000000       0.021195       0.031872
        3.000000       1.000000       0.018141       0.021158
        3.000000       1.000000       0.024876       0.030117
        3.000000       1.000000       0.021266       0.033069
        3.000000       1.000000       0.022896       0.022057
        3.000000       1.000000       0.019339       0.032574
        3.000000       1.000000       0.020546       0.019803
        3.000000       1.000000       0.019800       0.010556
        3.000000       1.000000       0.020765       0.007814
        3.000000       1.000000       0.022896       0.000395
        3.000000       1.000000       0.020765       0.000979
        3.000000       1.000000       0.018141       0.019803
        3.000000       1.000000       0.016786       0.020953
        3.000000       1.000000       0.018628       0.033008
        3.000000       1.000000       0.022501       0.031546
        3.000000       1.000000       0.021893       0.019696
        3.000000       1.000000       0.021195       0.026710
        3.000000       1.000000       0.019183       0.018934
        3.000000       1.000000       0.019339       0.032699
        3.000000       1.000000       0.021053       0.032574
        3.000000       1.000000       0.022435       0.033069
        3.000000       1.000000       0.023601       0.019803
        3.000000       1.000000       0.021053       0.031807
        3.000000       1.000000       0.019026       0.032947
        3.000000       1.000000       0.019951       0.021561
        3.000000       1.000000       0.024461       0.007172
        3.000000       1.000000       0.022896       0.023582
        3.000000       1.000000       0.022368       0.019044
        3.000000       1.000000       0.023474       0.010847
        3.000000       1.000000       0.021053       0.013749
        3.000000       1.000000       0.019647       0.032761
        3.000000       1.000000       0.021266       0.018152
        3.000000       1.000000       0.022301       0.019909
        3.000000       1.000000       0.022962       0.032947
        3.000000       1.000000       0.020325       0.007172
        3.000000       1.000000       0.022766       0.025711
        3.000000       1.000000       0.022098       0.032761
        3.000000       3.000000       0.024659       0.017793
        3.000000       3.000000       0.024522       0.006069
        3.000000       3.000000       0.022762       0.034481
        3.000000       3.000000       0.022281       0.046356
        3.000000       3.000000       0.024378       0.043332
        3.000000       3.000000       0.022978       0.000564
        3.000000       3.000000       0.022058       0.002764
        3.000000       3.000000       0.023312       0.039974
        3.000000       3.000000       0.022153       0.043572
        3.000000       3.000000       0.010469       0.048939
        3.000000       3.000000       0.009544       0.002213
        3.000000       3.000000       0.019131       0.020859
        3.000000       3.000000       0.008196       0.035430
        3.000000       3.000000       0.020444       0.038236
        3.000000       3.000000       0.021532       0.001790
        3.000000       3.000000       0.019497       0.020596
        3.000000       3.000000       0.023673       0.042544
        3.000000       3.000000       0.022070       0.032289
        3.000000       3.000000       0.020893       0.008278
        3.000000       3.000000       0.021645       0.001546
        3.000000       3.000000       0.012779       0.036455
        3.000000       3.000000       0.027576       0.021283
        3.000000       3.000000       0.019015       0.042544
        3.000000       3.000000       0.025352       0.034481
        3.000000       3.000000       0.024718       0.019694
        3.000000       3.000000       0.021539       0.019143
        3.000000       3.000000       0.020000       0.001812
        3.000000       3.000000       0.021493       0.012558
        3.000000       3.000000       0.022880       0.034481
        3.000000       3.000000       0.021202       0.048575
        3.000000       3.000000       0.033960       0.001546
        3.000000       3.000000       0.034506       0.004715
        3.000000       3.000000       0.020075       0.002602
        3.000000       3.000000       0.009178       0.000277
        3.000000       3.000000       0.021359       0.004715
        3.000000       3.000000       0.021367       0.030064
        3.000000       3.000000       0.017310       0.000212
        3.000000       3.000000       0.015042       0.000212
        3.000000       3.000000       0.018948       0.020596
        3.000000       3.000000       0.015250       0.024304
        3.000000       3.000000       0.019733       0.030438
        3.000000       3.000000       0.020652       0.019143
        3.000000       3.000000       0.013924       0.000407
        3.000000       3.000000       0.010899       0.020859
        3.000000       3.000000       0.006123       0.016113
        3.000000       3.000000       0.022266       0.017793
        3.000000       3.000000       0.036340       0.004715
        3.000000       3.000000       0.040316       0.042637
        3.000000       4.000000       0.022264       0.020857
        3.000000       4.000000       0.024552       0.007863
        3.000000       4.000000       0.022457       0.000139
        3.000000       4.000000       0.022909       0.056389
        3.000000       4.000000       0.022691       0.046770
        3.000000       4.000000       0.023361       0.015127
        3.000000       4.000000       0.017167       0.044584
        3.000000       4.000000       0.017222       0.043116
        3.000000       4.000000       0.021347       0.000281
        3.000000       4.000000       0.028335       0.011424
        3.000000       4.000000       0.030870       0.020928
        3.000000       4.000000       0.021714       0.045710
        3.000000       4.000000       0.038069       0.048312
        3.000000       4.000000       0.013162       0.039952
        3.000000       4.000000       0.019316       0.020074
        3.000000       4.000000       0.017988       0.000139
        3.000000       4.000000       0.021135       0.014572
        3.000000       4.000000       0.020242       0.048471
        3.000000       4.000000       0.022832       0.035375
        3.000000       4.000000       0.020207       0.015127
        3.000000       4.000000       0.024305       0.018662
        3.000000       4.000000       0.014630       0.008038
        3.000000       4.000000       0.027897       0.018662
        3.000000       4.000000       0.024632       0.005879
        3.000000       4.000000       0.021565       0.001795
        3.000000       4.000000       0.016854       0.005879
        3.000000       4.000000       0.019509       0.000208
        3.000000       4.000000       0.019493       0.009769
        3.000000       4.000000       0.022190       0.022283
        3.000000       4.000000       0.023458       0.039952
        3.000000       4.000000       0.008055       0.042627
        3.000000       4.000000       0.004794       0.005879
        3.000000       4.000000       0.016045       0.022131
        3.000000       4.000000       0.031356       0.011424
        3.000000       4.000000       0.023933       0.000163
        3.000000       4.000000       0.022085       0.026737
        3.000000       4.000000       0.016935       0.000069
        3.000000       4.000000       0.022177       0.040754
        3.000000       4.000000       0.019555       0.044964
        3.000000       4.000000       0.020832       0.043116
        3.000000       4.000000       0.021431       0.020074
        3.000000       4.000000       0.023362       0.000069
        3.000000       4.000000       0.026469       0.014035
        3.000000       4.000000       0.027257       0.000069
        3.000000       4.000000       0.030433       0.024608
        3.000000       4.000000       0.020497       0.004129
        3.000000       4.000000       0.002411       0.000168
        3.000000       4.000000       0.000000       0.032647
        4.000000       1.000000       0.016977       0.025105
        4.000000       1.000000       0.020917       0.024733
