conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
671,seduce,Behaviors,.072750002,.41188118,.089851484,.21204518,.45689651,-.16504852,.56999999,1.8099999,-.30000001
672,seek_advice_from,Behaviors,.51354164,.090364583,.08203125,.61856967,.29885057,-.23948216,2.1900001,1.26,-.52999997
673,seize,Behaviors,-.43762377,.3930693,.50618809,-.4203262,.47988504,.46925569,-1.95,1.89,1.66
2208,self_assured,Modifiers,.70742571,.53490096,.088118814,.6762861,.70114946,-.038834922,2.4200001,2.6600001,.090000004
2209,self_centered,Modifiers,-.625,-.099271841,.16519608,-.54830611,-.204023,.16504858,-2.46,-.49000001,.72000003
2210,self_confident,Modifiers,.73404759,.65809524,.18846154,.85194474,.80747122,.20711978,3.1199999,3.03,.85000002
2211,self_conscious,Modifiers,-.36869565,-.41652173,-.32982457,-.37264737,-.31321838,-.39158574,-1.76,-.87,-1
2212,self_disciplined,Modifiers,.755198,.57747525,-.12153465,.76411545,.8160919,-.29449835,2.77,3.0599999,-.69999999
1525,self_employed_worker,Identities,.5017857,.32576531,.35280612,.53826851,.45689651,.20711978,1.87,1.8099999,.85000002
2213,self_pitying,Modifiers,-.58258426,-.54269665,-.44241574,-.54328728,-.58045977,-.66019416,-2.4400001,-1.8,-1.83
2214,self_righteous,Modifiers,-.30721155,.077884614,.26682693,-.12672518,.031609192,.33333337,-.77999997,.33000001,1.24
2215,self_sacrificing,Modifiers,.56067961,.47742718,-.038349517,.5809285,.54022986,-.084142365,2.04,2.0999999,-.050000001
2216,self_satisfied,Modifiers,.6223039,.51299018,-.01004902,.66373897,.62356323,.087378666,2.3699999,2.3900001,.47999999
2217,selfish,Modifiers,-.61415094,-.14504717,.087028302,-.63111663,-.20114943,.13268611,-2.79,-.47999999,.62
674,sell_something_to,Behaviors,.26658654,.25264424,.28749999,.29736513,.27011493,.26537219,.91000003,1.16,1.03
1526,senator,Identities,.0077102799,.59299064,.3207944,.069008805,.545977,.19417478,0,2.1199999,.81
1527,senior_citizen,Identities,.36610577,-.19711539,-.39855769,.48808029,-.26149425,-.63106793,1.67,-.69,-1.74
2218,sensitive,Modifiers,.35711208,-.04353448,-.3338362,.29736513,.02586206,-.4239482,.91000003,.31,-1.1
2219,sensuous,Modifiers,.46470588,.3602941,.02,.45294857,.40517241,-.39158574,1.53,1.63,-1
675,sentence,Behaviors,.024561405,.6127193,.15526316,-.01882055,.69252878,-.0032362188,-.34999999,2.6300001,.2
2220,sentimental,Modifiers,.44499999,.11,-.34799999,.51568383,.15517241,-.4304207,1.78,.75999999,-1.12
676,serenade,Behaviors,.52740383,.31658652,.31225961,.63111669,.39655173,-.067961141,2.24,1.6,0
2221,serene,Modifiers,.75461167,.38325241,-.57281554,.76160604,.42816091,-.73139155,2.76,1.71,-2.05
2222,serious,Modifiers,.36283186,.28274336,-.20154867,.31994984,.40229884,-.4174757,1,1.62,-1.08
1528,servant,Identities,.066237114,-.51340204,.11469072,.20200753,-.58908045,-.46925563,.52999997,-1.83,-1.24
677,serve,Behaviors,.37894738,.028684212,.22657895,.44291094,.16091952,-.12944981,1.49,.77999997,-.19
1529,server,Identities,.39534312,-.0022058822,.44264707,.51317441,-.083333343,.16181232,1.77,-.07,.70999998
1530,sewing_machine_operator,Identities,.33526316,-.10078947,.2786842,.32747805,-.21551724,-.090614863,1.03,-.52999997,-.07
678,sexually_arouse,Behaviors,.51614583,.50206184,.27371132,.64115435,.60919535,.24271846,2.28,2.3399999,.95999998
