Month,Day,Year,Temp
1,2            20,1995,18.3
1,2            21,1995,20.4
1,2            22,1995,20
1,2            23,1995,16.7
1,2            24,1995,22
1,2            25,1995,24.1
1,2            26,1995,15.3
1,2            27,1995,20.3
1,2            28,1995,19.8
1,2            29,1995,18.5
1,2            30,1995,24.7
1,2            31,1995,36.3
1,1,1996,34.5
1,2,1996,30.2
1,3,1996,16.4
1,4,1996,12.3
1,5,1996,12.6
1,6,1996,13
1,7,1996,16.3
1,8,1996,12.5
1,9,1996,20.7
1,10,1996,23.8
1,11,1996,15.7
1,12,1996,20.8
1,13,1996,27.1
1,14,1996,35.1
1,15,1996,29.4
1,16,1996,29.7
1,17,1996,48.9
1,18,1996,55.5
1,19,1996,22.3
1,20,1996,13
1,21,1996,23.7
1,22,1996,32
1,23,1996,38.2
1,24,1996,34.6
1,25,1996,21.2
1,26,1996,32.4
1,27,1996,32.4
1,28,1996,21.6
1,29,1996,33.3
1,30,1996,20.4
1,31,1996,10.4
2,1,1996,5.9
2,2,1996,6.8
2,3,1996,0.8
2,4,1996,-1
2,5,1996,5.3
2,6,1996,18.8
2,7,1996,31.8
2,8,1996,42.2
2,9,1996,38.6
2,10,1996,43.7
2,11,1996,37.1
2,12,1996,24.5
2,13,1996,21.9
2,14,1996,34.1
2,15,1996,27.6
2,16,1996,22.6
2,17,1996,20.9
2,18,1996,17.8
2,19,1996,29.9
2,20,1996,43.2
2,21,1996,45.9
2,22,1996,39.5
2,23,1996,45.7
2,24,1996,47.3
2,25,1996,48
2,26,1996,51
2,27,1996,58.3
2,28,1996,34.8
2,29,1996,18.6
3,1,1996,22.3
3,2,1996,31
3,3,1996,15.7
3,4,1996,23.8
3,5,1996,45.6
3,6,1996,34
3,7,1996,19.2
3,8,1996,12.3
3,9,1996,14.5
3,10,1996,22.1
3,11,1996,27.4
3,12,1996,36.4
3,13,1996,43.9
3,14,1996,54.8
3,15,1996,50.7
3,16,1996,38.6
3,17,1996,40.5
3,18,1996,41.2
3,19,1996,37.7
3,20,1996,30.7
3,21,1996,26.9
3,22,1996,26.9
3,23,1996,31.5
3,24,1996,45.4
3,25,1996,53.3
3,26,1996,26.8
3,27,1996,27.4
3,28,1996,36.2
3,29,1996,40.4
3,30,1996,45.3
3,31,1996,53
4,1,1996,38.4
4,2,1996,39.8
4,3,1996,54.5
4,4,1996,53.8
4,5,1996,33.1
4,6,1996,35
4,7,1996,31.1
4,8,1996,33.8
4,9,1996,32.4
4,10,1996,39.5
4,11,1996,51.5
4,12,1996,67
4,13,1996,59.2
4,14,1996,40.6
4,15,1996,49.6
4,16,1996,40.1
4,17,1996,43.9
4,18,1996,58.7
4,19,1996,66.4
4,20,1996,65.3
4,21,1996,56.7
4,22,1996,63.5
4,23,1996,49.9
4,24,1996,44.9
4,25,1996,61.8
4,26,1996,53.1
4,27,1996,43.6
4,28,1996,51.5
4,29,1996,56.5
4,30,1996,47.4
5,1,1996,49.9
5,2,1996,54.9
5,3,1996,59.7
5,4,1996,59.1
5,5,1996,53.5
5,6,1996,53.6
